id,domain,category,name,description,css_values,use_case,tags
s-b2b-001,b2b-admin,layout,dense-dashboard,"High-density dashboard layout with compact spacing for data-heavy screens","gap: 12px; padding: 16px; grid-template-columns: repeat(auto-fill, minmax(280px, 1fr))","Admin dashboards displaying KPIs, charts, and summary cards","dashboard compact grid kpi"
s-b2b-002,b2b-admin,layout,admin-panel,"Full-height admin panel with collapsible sidebar and main content area","display: grid; grid-template-columns: auto 1fr; height: 100vh; overflow: hidden","Admin panels with navigation sidebar and detail content","admin sidebar panel full-height"
s-b2b-003,b2b-admin,layout,data-table-container,"Scrollable table container with sticky header and pagination footer","overflow-x: auto; position: relative; border-radius: 8px; border: 1px solid var(--border)","Data-heavy tables with sorting, filtering, and bulk actions","table scroll sticky pagination"
s-b2b-004,b2b-admin,layout,sidebar-nav,"Collapsible sidebar navigation with icon-only compact mode","width: 240px; transition: width 200ms; &.collapsed { width: 64px }","Primary navigation in admin panels","sidebar nav collapse icon"
s-b2b-005,b2b-admin,layout,form-layout,"Two-column form layout with label-input pairs and action footer","display: grid; grid-template-columns: 200px 1fr; gap: 16px 24px; align-items: start","Complex forms with many fields (user creation, settings)","form grid two-column label"
s-b2b-006,b2b-admin,layout,master-detail,"Split-pane layout with list on left and detail panel on right","display: grid; grid-template-columns: 360px 1fr; height: 100%; overflow: hidden","CRUD interfaces with list + detail view","master-detail split-pane crud"
s-b2b-007,b2b-admin,layout,stat-widget,"Compact stat card with metric value, trend indicator, and sparkline area","padding: 16px; min-width: 200px; display: flex; flex-direction: column; gap: 8px","Dashboard KPI widgets showing metrics with change indicators","stat metric kpi widget trend"
s-b2b-008,b2b-admin,layout,filter-bar,"Horizontal filter bar with multiple filter controls and search input","display: flex; gap: 8px; padding: 12px 0; flex-wrap: wrap; align-items: center","Table filtering with dropdowns, search, and date ranges","filter search bar toolbar"
s-b2b-009,b2b-admin,layout,bulk-action-bar,"Floating action bar shown when rows are selected in a table","position: sticky; bottom: 0; padding: 12px 16px; background: var(--primary); color: white; border-radius: 8px 8px 0 0","Bulk operations on selected table rows (delete, export, status change)","bulk action toolbar selection"
s-b2b-010,b2b-admin,layout,tab-section,"Tab-based section layout for organizing related content groups","border-bottom: 2px solid var(--border); padding: 0 16px","Organizing user profile, settings, or entity details into tabs","tab section organize group"
s-b2b-011,b2b-admin,layout,card-grid-dashboard,"Responsive card grid for dashboard widgets with drag-drop zones","display: grid; grid-template-columns: repeat(12, 1fr); gap: 16px; grid-auto-rows: minmax(120px, auto)","Customizable dashboard with draggable widget cards","dashboard grid card drag widget"
s-b2b-012,b2b-admin,layout,breadcrumb-header,"Page header with breadcrumb navigation, title, and action buttons","display: flex; justify-content: space-between; align-items: center; padding: 16px 24px; border-bottom: 1px solid var(--border)","Top of detail/edit pages with navigation context","header breadcrumb title action"
s-b2b-013,b2b-admin,layout,modal-form,"Modal dialog layout for create/edit forms with header, scrollable body, and footer","max-width: 640px; max-height: 80vh; display: flex; flex-direction: column","Quick create/edit forms without leaving the current page","modal dialog form create edit"
s-b2b-014,b2b-admin,layout,audit-log-layout,"Timeline-style layout for displaying audit/activity logs","display: flex; flex-direction: column; gap: 0; border-left: 2px solid var(--border); padding-left: 24px","Activity history, audit trails, change logs","audit log timeline activity"
s-b2b-015,b2b-admin,layout,settings-page,"Full-width settings page with categorized sections and save footer","max-width: 720px; margin: 0 auto; padding: 24px; display: flex; flex-direction: column; gap: 32px","System settings, user preferences, configuration pages","settings config preferences page"
s-ht-001,hotel-travel,layout,booking-flow,"Multi-step booking wizard with progress indicator and summary sidebar","display: grid; grid-template-columns: 1fr 320px; gap: 24px; max-width: 1080px; margin: 0 auto","Hotel room booking process with step-by-step progression","booking wizard steps progress"
s-ht-002,hotel-travel,layout,room-card,"Visual card layout with hero image, details, pricing, and CTA","border-radius: 12px; overflow: hidden; box-shadow: 0 2px 8px rgba(0,0,0,0.08)","Room listing cards in search results or gallery","room card image pricing cta"
s-ht-003,hotel-travel,layout,calendar-grid,"Monthly calendar grid with cell states for availability and pricing","display: grid; grid-template-columns: repeat(7, 1fr); gap: 1px; background: var(--border)","Room availability calendar, date picker with pricing","calendar grid availability date"
s-ht-004,hotel-travel,layout,hero-section,"Full-width hero banner with background image, overlay text, and search bar","position: relative; min-height: 400px; display: flex; align-items: center; background-size: cover","Landing page hero with search functionality","hero banner search landing"
s-ht-005,hotel-travel,layout,pricing-table,"Comparison table layout for room types with features and pricing","display: grid; grid-template-columns: 200px repeat(auto-fit, minmax(180px, 1fr)); gap: 0; border: 1px solid var(--border)","Room type comparison, rate plan comparison","pricing table comparison rate"
s-ht-006,hotel-travel,layout,guest-form,"Compact guest information form with auto-fill support","display: flex; flex-direction: column; gap: 16px; max-width: 480px","Guest registration, check-in forms","guest form registration info"
s-ht-007,hotel-travel,layout,review-card,"Compact review card with rating stars, author info, and text","padding: 16px; border-bottom: 1px solid var(--border)","Guest reviews and ratings display","review rating stars guest"
s-ht-008,hotel-travel,layout,gallery-grid,"Masonry-style image gallery with lightbox support","display: grid; grid-template-columns: repeat(auto-fill, minmax(240px, 1fr)); gap: 8px","Room and hotel photo galleries","gallery image masonry photo"
s-ht-009,hotel-travel,layout,search-results,"Two-column layout with filters sidebar and scrollable results","display: grid; grid-template-columns: 280px 1fr; gap: 24px; align-items: start","Hotel/room search results with filtering","search results filter sidebar"
s-ht-010,hotel-travel,layout,booking-summary,"Sticky summary card with line items, taxes, and total","position: sticky; top: 24px; padding: 20px; border-radius: 12px; border: 1px solid var(--border)","Booking order summary sidebar","summary order total sticky"
s-ht-011,hotel-travel,layout,map-list-split,"Split view with interactive map on one side and list on the other","display: grid; grid-template-columns: 1fr 1fr; height: calc(100vh - 64px)","Hotel search with map and list views","map list split search"
s-ht-012,hotel-travel,layout,amenity-grid,"Icon grid layout for displaying hotel/room amenities","display: grid; grid-template-columns: repeat(auto-fill, minmax(140px, 1fr)); gap: 12px","Hotel amenities, room features display","amenity icon grid feature"
s-ht-013,hotel-travel,layout,rate-management,"Dense grid for managing room rates across date ranges","display: grid; grid-template-columns: 160px repeat(auto-fill, 80px); overflow-x: auto","Rate management calendar for hotel staff","rate management grid price calendar"
s-ht-014,hotel-travel,layout,confirmation-page,"Centered confirmation layout with booking details and next steps","max-width: 640px; margin: 0 auto; padding: 40px 24px; text-align: center","Booking confirmation, thank you pages","confirmation success booking thankyou"
s-ht-015,hotel-travel,layout,check-in-mobile,"Mobile-optimized full-screen check-in flow","display: flex; flex-direction: column; min-height: 100vh; padding: 16px","Mobile self-service check-in process","checkin mobile fullscreen touch"
s-g-001,general,layout,responsive-grid,"12-column responsive grid system with configurable breakpoints","display: grid; grid-template-columns: repeat(12, 1fr); gap: 16px","General page layouts across all screen sizes","grid responsive 12-column"
s-g-002,general,layout,breakpoints,"Standard responsive breakpoints for consistent cross-device behavior","sm: 640px; md: 768px; lg: 1024px; xl: 1280px; 2xl: 1536px","Responsive design breakpoint definitions","breakpoint responsive mobile tablet desktop"
s-g-003,general,layout,container-width,"Centered container with max-width constraints","max-width: 1280px; margin: 0 auto; padding: 0 16px; @media(min-width: 768px) { padding: 0 24px }","Page-level content container","container width center padding"
s-g-004,general,layout,flex-stack,"Vertical flex stack with consistent gap spacing","display: flex; flex-direction: column; gap: 16px","Stacking form fields, card lists, content sections","flex stack vertical gap"
s-g-005,general,layout,flex-row,"Horizontal flex row with alignment and wrapping","display: flex; flex-direction: row; gap: 8px; align-items: center; flex-wrap: wrap","Button groups, tag lists, inline elements","flex row horizontal inline"
s-g-006,general,layout,full-page-center,"Centered content for login, error, and empty state pages","display: flex; align-items: center; justify-content: center; min-height: 100vh","Login page, 404 page, empty states","center full-page login error"
s-g-007,general,layout,sticky-footer,"Layout with sticky footer that stays at bottom","display: flex; flex-direction: column; min-height: 100vh; main { flex: 1 }","Pages with persistent footer navigation or actions","footer sticky bottom layout"
s-g-008,general,layout,card-stack,"Stacked card layout with consistent spacing","display: flex; flex-direction: column; gap: 16px","Settings sections, form groups, content blocks","card stack section group"
s-g-009,general,layout,dialog-layout,"Centered dialog/modal overlay layout","position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; background: rgba(0,0,0,0.5)","Modal dialogs, confirmation prompts","dialog modal overlay center"
s-g-010,general,layout,split-view,"Adjustable split view layout","display: grid; grid-template-columns: var(--left-width, 1fr) var(--right-width, 1fr); height: 100%","Code editors, comparison views, master-detail","split view adjustable panel"
